id,name,album_name,artists,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,year,genre,popularity,total_artist_followers,avg_artist_popularity,artist_ids,niche_genres
0Ga9ikq40gOwKfXXGB6ksq,光 - PLANITb Remix,光,"[""Hikaru Utada"", ""\u30e9\u30c3\u30bb\u30eb\u30fb\u30de\u30af\u30ca\u30de\u30e9""]",0.711,0.833,8,-6.899,1,0.0507,0.0138,2.4500000000000003e-05,0.129,0.449,130.022,343093,2002,Pop,38,4202868,54.0,"[""7lbSsjYACZHn1MSDXPxNF2"", ""4LwuYeMYav834kRcImkLvw""]","[""anime"", ""j-pop"", ""j-r&b""]"
71jxHnEfeDyolLb6Kr2DdS,別世界,別世界,"[""E-girls""]",0.6950000000000001,0.88,5,-2.965,1,0.158,0.194,0.0,0.0898,0.786,127.075,224882,2020,Pop,19,487852,49.0,"[""6CKN3GUiWMrESH1RKn3ecz""]","[""j-pop""]"
4m2yejLg8W4N0hrP9E2y6k,喝采と激情のグロリア,喝采と激情のグロリア,"[""Matenrou Opera""]",0.195,0.791,11,-2.846,0,0.0465,0.00214,0.0,0.365,0.291,84.46,376160,2013,Rock,25,31906,31.0,"[""1Gnhms6SzyrrdDCTYGr8Ce""]","[""j-rock"", ""symphonic metal"", ""visual kei""]"
1BnODvOuKbTnAZYkMVzJCL,夢の続き,REQUEST (30th Anniversary Edition),"[""Mariya Takeuchi""]",0.721,0.911,0,-5.153,1,0.0586,0.108,0.0328,0.0916,0.898,116.486,321867,1987,Pop,51,1064883,61.0,"[""3WwGRA2o4Ux1RRMYaYDh7N""]","[""city pop"", ""j-pop"", ""kayokyoku""]"
5vLcAMBQVoi2FB1lvkrwKU,天国より野蛮～WILDER THAN HEAVEN～,中谷美紀 Pure Best,"[""Miki Nakatani""]",0.705,0.912,10,-5.251,0,0.0502,0.255,0.00846,0.103,0.789,100.093,278827,2001,Pop,6,15910,28.0,"[""0lQqccMaSieqmC4KN96fgs""]","[""city pop"", ""kayokyoku"", ""shibuya-kei""]"
6lpl7KYkM4DgYJGosrLF3L,失踪FLAME - Shisso Flame,ALONE,"[""MY FIRST STORY""]",0.5660000000000001,0.962,9,-4.367,1,0.0707,0.00477,0.0,0.134,0.165,105.017,257133,2015,Pop,32,718506,60.0,"[""6cutt8thPFUICMfxaYerWd""]","[""anime"", ""j-pop"", ""j-rock""]"
34FrFPPusGVFsZf3DvDBXz,奇跡の地球,TOP OF THE POPS,"[""\u6851\u7530 \u4f73\u7950 \uff06 Mr.Children""]",0.5760000000000001,0.744,0,-7.056,1,0.0334,0.00719,2.51e-06,0.0748,0.846,126.297,291233,2002,Pop,51,42045,33.0,"[""1cuCypz5LcHkIMiQARvsoP""]","[""j-pop"", ""kayokyoku""]"
029lE232zfvafP1nuvj0xw,孤独のあかつき - 信猫版,日出処,"[""Sheena Ringo""]",0.351,0.887,10,-4.436,1,0.241,0.000499,0.00257,0.125,0.415,168.961,170053,2014,Pop,25,2156731,67.0,"[""2XjqKvB2Xz9IdyjWPIHaXi""]","[""art pop"", ""j-pop"", ""j-rock""]"
30hzxa3MaRd2XXB6kXGlPh,完全感覚Dreamer,Nicheシンドローム,"[""ONE OK ROCK""]",0.558,0.914,6,-3.395,0,0.0996,0.0001909999999999,0.0,0.132,0.711,94.975,252200,2010,Rock,61,5968711,72.0,"[""7k73EtZwoPs516ZxE72KsO""]","[""j-pop"", ""j-rock""]"
0xTWI6HrzKHJ6LK11f8jGO,御伽の街,御伽の街,"[""Daoko""]",0.803,0.863,1,-4.939,1,0.0903,0.00947,0.0136,0.0823,0.467,112.986,203147,2020,Pop,17,511850,55.0,"[""5Qeyh2XKoITt1mlEVtzazC""]","[""anime"", ""j-pop"", ""j-rock""]"
4oUmjIGK6LBM4XOB7wYh6C,恋するギターのセレナード,逆転裁判4 オリジナル・サウンドトラック,"[""Capcom Sound Team""]",0.5660000000000001,0.207,9,-15.885,1,0.034,0.837,0.974,0.148,0.459,170.034,96640,2007,Electronic,0,210392,58.0,"[""3w1Q754jb31h5CXQCcnLNL""]","[""japanese vgm"", ""soundtrack""]"
50jYx2O89WhugyVXUXepuJ,恋におちて,スナックJUJU 〜夜のRequest〜,"[""JUJU""]",0.382,0.557,1,-6.733,1,0.0294,0.33,0.0,0.111,0.283,147.518,311200,2016,Pop,47,1132451,55.0,"[""5VLVogbPeBgFHXQPZQzBej""]","[""j-pop"", ""j-r&b"", ""kayokyoku""]"
5tpZa0VJg21iAbyrNVAgAC,恋におちて,Dear Friends,"[""Hiromi Iwasaki""]",0.462,0.216,1,-11.175,1,0.0319,0.98,4.72e-05,0.113,0.314,130.853,333040,2003,Pop,21,122069,43.0,"[""7ef2Bdyd1lXJmutAbN4ZyO""]","[""city pop"", ""enka"", ""j-pop"", ""kayokyoku""]"
77LY4ZuX9BxrNsqyezKLwA,恋におちて －Fall in Love－,恋におちて -Fall in Love-,"[""Hideaki Tokunaga""]",0.5700000000000001,0.32,10,-10.036,1,0.0251,0.773,0.000811,0.186,0.22,141.89,330973,2007,Pop,35,411192,53.0,"[""2FTUpyPZ3hqBPLwmaEH14B""]","[""enka"", ""j-pop"", ""kayokyoku""]"
4byBkXmWNi1crfk8oYIhrD,悪戯フィクション - Itazura Fiction,ANTITHESE,"[""MY FIRST STORY""]",0.45,0.961,8,-3.241,0,0.125,0.000292,0.0,0.31,0.392,91.491,198867,2016,Pop,31,718506,60.0,"[""6cutt8thPFUICMfxaYerWd""]","[""anime"", ""j-pop"", ""j-rock""]"
6mGGGDxSKOKdgV3bno0Iv1,悪魔組曲　作品666番　ニ短調　(b) 第一楽章：STORMY NIGHT,聖飢魔II〜悪魔が来たりてヘヴィメタる,"[""Seikima-II""]",0.357,0.879,0,-3.585,1,0.039,0.0003309999999999,0.0752,0.256,0.485,173.106,181387,2013,Rock,13,63711,42.0,"[""3xl8koA4X7WDnRYSmjYeDa""]","[""j-rock"", ""visual kei""]"
7w9bqnOWrtWJixSR2gHqQl,悲しみは雪のように(single / 1992),悲しみは雪のように,"[""Shogo Hamada""]",0.587,0.855,7,-5.486,1,0.0349,0.109,1.65e-06,0.137,0.597,116.968,313133,2005,Pop,0,256028,55.0,"[""46Y4IAsvxi9vMQjqL2wdfy""]","[""enka"", ""j-pop"", ""kayokyoku""]"
0uE1S2gplHMRGadJfx0bJE,愛Dee,The Greatest Idol,"[""Mitchie M"", ""Hatsune Miku"", ""Megurine Luka""]",0.587,0.987,6,-2.507,1,0.0631,0.00579,0.0576,0.374,0.842,128.021,286747,2013,Electronic,0,3056585,54.0,"[""2MRx5cgvkudCT0FHafXcPx"", ""6pNgnvzBa6Bthsv8SrZJYl"", ""7HwMt9qpoww4yfE3D8886I""]","[""vocaloid""]"
7pBEMYpkvkajbDqrvZrcmQ,愛と友情～サイプレス上野 is mine,感謝。,"[""RSP""]",0.805,0.764,7,-5.046,1,0.194,0.0772,0.0,0.0442,0.784,102.02,251373,2008,Pop,0,10798,35.0,"[""5O2mC2Qd9HSGuisFTl1FM8""]","[""anime"", ""j-pop""]"
4LBeEalws5w5e20pGU0r1V,愛と欲望の日々,愛と欲望の日々／LONELY WOMAN,"[""\u30b5\u30b6\u30f3\u30aa\u30fc\u30eb\u30b9\u30bf\u30fc\u30ba""]",0.604,0.907,7,-3.473,0,0.0319,0.00895,0.0,0.153,0.764,123.93,266600,2004,Pop,41,2472589,66.0,"[""79nkC8XZ5ohEVU0Xlf5Ael""]","[""j-pop"", ""kayokyoku""]"
